City,Latitude,Longitude,Max Temperature,Humidity,Cloud Coverage,Windspeed,Country,City Date Time,Weather Description
ryuo,35.65,138.5,93.52,69.0,69.0,4.16,JP,2021-07-24 04:56:13,few clouds
ust-katav,54.9369,58.1656,66.99,62.0,62.0,3.71,RU,2021-07-24 04:52:14,broken clouds
billings,45.7833,-108.5007,80.37,23.0,23.0,10.36,US,2021-07-24 04:50:05,few clouds
menongue,-14.6585,17.691,41.09,34.0,34.0,4.83,AO,2021-07-24 04:56:14,clear sky
lagoa,39.05,-27.9833,69.96,94.0,94.0,12.82,PT,2021-07-24 04:56:14,overcast clouds
kotka,60.4664,26.9458,58.96,54.0,54.0,6.91,FI,2021-07-24 04:56:15,clear sky
kysyl-syr,63.8986,122.7617,76.17,44.0,44.0,4.07,RU,2021-07-24 04:56:15,overcast clouds
dicabisagan,17.0818,122.4157,87.22,63.0,63.0,5.64,PH,2021-07-24 04:56:15,overcast clouds
necochea,-38.5473,-58.7368,44.04,74.0,74.0,12.5,AR,2021-07-24 04:56:16,overcast clouds
nioki,-2.7167,17.6833,67.59,68.0,68.0,2.98,CD,2021-07-24 04:56:16,scattered clouds
nguiu,,,,,,,,,
saint anthony,45.0205,-93.218,84.97,75.0,75.0,4.0,US,2021-07-24 04:56:17,overcast clouds
sao joao da barra,-21.6403,-41.0511,66.07,72.0,72.0,5.21,BR,2021-07-24 04:55:19,few clouds
gobabis,-22.45,18.9667,36.05,31.0,31.0,9.91,NA,2021-07-24 04:56:17,clear sky
kenai,60.5544,-151.2583,62.02,84.0,84.0,5.75,US,2021-07-24 04:55:48,overcast clouds
mount gambier,-37.8333,140.7667,44.51,93.0,93.0,18.41,AU,2021-07-24 04:53:22,moderate rain
moose factory,51.2585,-80.6094,71.6,60.0,60.0,13.8,CA,2021-07-24 04:56:18,clear sky
aksu,41.1231,80.2644,90.23,28.0,28.0,4.61,CN,2021-07-24 04:56:18,clear sky
broken hill,-31.95,141.4333,56.91,47.0,47.0,23.02,AU,2021-07-24 04:56:19,broken clouds
nyurba,63.2842,118.3319,80.53,34.0,34.0,5.7,RU,2021-07-24 04:56:19,clear sky
san jose,37.3394,-121.895,68.72,70.0,70.0,9.22,US,2021-07-24 04:50:17,clear sky
bossier city,32.516,-93.7321,81.99,87.0,87.0,3.87,US,2021-07-24 04:56:20,broken clouds
samarai,-10.6167,150.6667,80.53,84.0,84.0,11.34,PG,2021-07-24 04:56:20,light rain
kolokani,13.5728,-8.0339,73.33,87.0,87.0,7.9,ML,2021-07-24 04:56:20,scattered clouds
svetlogorsk,52.6333,29.7333,64.58,76.0,76.0,6.2,BY,2021-07-24 04:56:21,overcast clouds
keita,14.7551,5.7749,76.28,81.0,81.0,10.31,NE,2021-07-24 04:56:21,overcast clouds
jining,35.405,116.5814,91.02,47.0,47.0,5.7,CN,2021-07-24 04:56:22,scattered clouds
goba,7.0167,39.9833,54.63,87.0,87.0,2.26,ET,2021-07-24 04:56:22,light rain
baicheng,45.6167,122.8167,90.28,47.0,47.0,9.28,CN,2021-07-24 04:56:22,light rain
ukiah,39.1502,-123.2078,67.37,44.0,44.0,1.95,US,2021-07-24 04:56:23,clear sky
koran,43.8103,18.5689,53.11,100.0,100.0,1.14,BA,2021-07-24 04:56:23,scattered clouds
vao,-22.6667,167.4833,71.2,80.0,80.0,8.16,NC,2021-07-24 04:56:23,clear sky
lodja,-3.4833,23.4333,68.61,38.0,38.0,1.74,CD,2021-07-24 04:56:24,scattered clouds
kangar,6.4414,100.1986,91.65,71.0,71.0,6.02,MY,2021-07-24 04:56:24,overcast clouds
yen bai,21.7,104.8667,94.03,55.0,55.0,1.59,VN,2021-07-24 04:56:24,clear sky
jiazi,22.8779,116.067,91.08,62.0,62.0,7.94,CN,2021-07-24 04:56:25,clear sky
bima,-8.4667,118.7167,93.69,28.0,28.0,9.08,ID,2021-07-24 04:56:25,few clouds
cabrero,-37.0333,-72.4,46.83,95.0,95.0,2.68,CL,2021-07-24 04:56:26,scattered clouds
sao filipe,14.8961,-24.4956,73.47,74.0,74.0,9.55,CV,2021-07-24 04:56:26,clear sky
ciego de avila,21.84,-78.7619,74.52,95.0,95.0,4.29,CU,2021-07-24 04:56:26,overcast clouds
luganville,-15.5333,167.1667,79.41,80.0,80.0,3.42,VU,2021-07-24 04:56:27,overcast clouds
ruatoria,,,,,,,,,
san patricio,28.017,-97.5169,83.86,83.0,83.0,13.18,US,2021-07-24 04:56:27,clear sky
mackay,-21.15,149.2,86.68,45.0,45.0,10.36,AU,2021-07-24 04:56:28,scattered clouds
zacoalco,,,,,,,,,
upington,-28.4478,21.2561,28.78,59.0,59.0,0.0,ZA,2021-07-24 04:56:28,clear sky
umm lajj,25.0213,37.2685,86.38,54.0,54.0,1.34,SA,2021-07-24 04:56:29,clear sky
sorvag,,,,,,,,,
raudeberg,61.9875,5.1352,58.19,95.0,95.0,4.54,NO,2021-07-24 04:56:29,scattered clouds
alice springs,-23.7,133.8833,63.95,25.0,25.0,10.36,AU,2021-07-24 04:56:29,scattered clouds
batagay,67.6333,134.6333,79.75,28.0,28.0,4.23,RU,2021-07-24 04:56:30,broken clouds
green river,41.5286,-109.4662,74.19,30.0,30.0,1.01,US,2021-07-24 04:56:30,overcast clouds
san andres,12.5847,-81.7006,82.42,83.0,83.0,11.5,CO,2021-07-24 04:56:31,broken clouds
neverkino,52.7854,46.7417,67.68,56.0,56.0,9.31,RU,2021-07-24 04:56:31,scattered clouds
khani,41.9563,42.9566,62.17,82.0,82.0,1.97,GE,2021-07-24 04:56:31,broken clouds
ngunguru,-35.6167,174.5,59.16,75.0,75.0,8.57,NZ,2021-07-24 04:56:32,clear sky
xushan,30.1764,121.2457,80.53,94.0,94.0,24.83,CN,2021-07-24 04:56:32,light rain
zhuji,29.7188,120.2423,78.89,97.0,97.0,11.12,CN,2021-07-24 04:56:32,heavy intensity rain
kyren,51.6828,102.1408,73.94,56.0,56.0,4.45,RU,2021-07-24 04:56:33,overcast clouds
sobolevo,54.4299,31.8996,60.8,77.0,77.0,2.04,RU,2021-07-24 04:56:33,scattered clouds
wadi musa,30.3222,35.4793,64.83,76.0,76.0,6.96,JO,2021-07-24 04:56:33,scattered clouds
luba,3.4568,8.5547,76.89,88.0,88.0,5.77,GQ,2021-07-24 04:56:34,moderate rain
araouane,18.9048,-3.5265,86.67,44.0,44.0,5.57,ML,2021-07-24 04:56:34,broken clouds
port-de-paix,,,,,,,,,
coahuayana,18.7333,-103.6833,78.24,94.0,94.0,2.1,MX,2021-07-24 04:56:35,broken clouds
los llanos de aridane,28.6585,-17.9182,65.95,90.0,90.0,14.97,ES,2021-07-24 04:56:35,clear sky
toora-khem,52.4675,96.11,76.64,41.0,41.0,1.77,RU,2021-07-24 04:56:35,overcast clouds
mayumba,-3.432,10.6554,67.95,89.0,89.0,1.12,GA,2021-07-24 04:56:36,clear sky
morogoro,-6.8167,37.6667,69.98,60.0,60.0,0.0,TZ,2021-07-24 04:56:36,few clouds
ombessa,4.603,11.2565,67.91,98.0,98.0,2.75,CM,2021-07-24 04:56:37,overcast clouds
abha,18.2164,42.5053,62.85,77.0,77.0,0.0,SA,2021-07-24 04:56:37,scattered clouds
karatau,43.1667,70.4667,93.27,15.0,15.0,5.41,KZ,2021-07-24 04:56:37,clear sky
estreito,-5.7833,-43.25,66.61,47.0,47.0,5.61,BR,2021-07-24 04:52:07,clear sky
mananara,-16.1667,49.7667,68.59,78.0,78.0,5.46,MG,2021-07-24 04:56:38,scattered clouds
